table_id,table_width,table_height,table_left,table_top,table_page,source,cell_count,row_count,column_count,content,entities,child_count,merged_cell_count,table_title_count,table_footer_count,table_type,layout_title_text,table_class
07f4f69c-f8da-41c3-8dc5-4efb3f81a6a5,0.4202355444431305,0.19930250942707062,0.5020064115524292,0.7146451473236084,9,textract_results_a94652cc20e2b47fb29998044089fd42779c769fbe1021090cda759eb9307789.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Siemens']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['10215121']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['70', 'Amps']], [['Voltage:'], ['480/277V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
96cf0b75-4512-4f52-8412-b812ff966a8b,0.4205714166164398,0.2015475481748581,0.5022555589675903,0.7132539749145508,10,textract_results_a94652cc20e2b47fb29998044089fd42779c769fbe1021090cda759eb9307789.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Siemens']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['10215130']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['125', 'Amps']], [['Voltage:'], ['480/277V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
4982bab2-e375-45c4-8400-e66098499162,0.41656485199928284,0.19928349554538727,0.504453182,0.7136794924736023,11,textract_results_a94652cc20e2b47fb29998044089fd42779c769fbe1021090cda759eb9307789.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Siemens']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['10215143']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['45', 'Amps']], [['Voltage:'], ['480/277V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
cb000d91-7843-4865-ae51-3ac117ba879e,0.4181152880191803,0.19984552264213562,0.5035412311553955,0.7138842344284058,12,textract_results_a94652cc20e2b47fb29998044089fd42779c769fbe1021090cda759eb9307789.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Siemens']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['10215144']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['45', 'Amps']], [['Voltage:'], ['480/277V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
9b54ffc6-d23d-4b31-8753-26a781786c87,0.38679203391075134,0.1990542858839035,0.5079168677330017,0.714034379,13,textract_results_a94652cc20e2b47fb29998044089fd42779c769fbe1021090cda759eb9307789.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Siemens']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['10215154']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['70', 'Amps']], [['Voltage:'], ['480/277V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
9d48b359-a746-4df3-98ab-5d1f6aab2ef2,0.4192648231983185,0.20018979907035828,0.5036656856536865,0.7139015793800354,15,textract_results_a94652cc20e2b47fb29998044089fd42779c769fbe1021090cda759eb9307789.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Siemens']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['10215156']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['70', 'Amps']], [['Voltage:'], ['480/277V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
997dee72-2174-49f1-8a83-122b2310c07b,0.41904354095458984,0.20083476603031158,0.50333333,0.7138628363609314,6,textract_results_333fb85632cbab28203439f2b262804aaab9f996189763038b0c27a6f2025798.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Square', 'D']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['-']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['60', 'Amps']], [['Voltage:'], ['120/208V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
a6b359a1-41fd-4a7d-979e-0c9d8cd59d23,0.4209829866886139,0.20131924748420715,0.5017939805984497,0.7134484648704529,6,textract_results_aee7785958fb5784723a5a1fcfdc063322d8a8746115633074317c4df8ddfe4b.json,20,10,2,"[[['Type:'], ['Bucket']], [['Size:'], ['N/A']], [['Manufacturer:'], ['Square', 'D']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['-']], [['QR', 'Code:'], ['-']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['60', 'Amps']], [['Voltage:'], ['120/208V']], [['Priority:'], ['UNCL']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
ef05c1bb-76a9-4841-beb5-536c51c43dff,0.41795522,0.20093362033367157,0.5027062296867371,0.7135016322135925,7,textract_results_744e39b838cdad708b0515bfc741c8fc4c6ddf757eca1eb738194b7c9b05c524.json,20,10,2,"[[['Type:'], ['Contactor']], [['Size:'], ['3', 'Pole']], [['Manufacturer:'], ['ASCO']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], []], [['QR', 'Code:'], ['10211627']], [['Model', 'Number:'], ['-']], [['Rated', 'amps:'], ['20', 'Amps']], [['Voltage:'], ['277V']], [['Priority:'], ['ETO']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
558f99f9-d3b7-497a-aa75-d41cea530dab,0.41797295212745667,0.2011987417936325,0.5041365623474121,0.7129712700843811,10,textract_results_28cdc0571c67bdd2d6d439407c0bb3b138cb4963db60900b0eb3d3a4f0b345fd.json,20,10,2,"[[['Type:'], ['Control', 'Cabinet']], [['Size:'], ['N/A']], [['Manufacturer:'], ['ABB']], [['Asset', 'Tag:'], ['-']], [['Barcode:'], ['PSC1343125']], [['QR', 'Code:'], ['10055429']], [['Model', 'Number:'], ['N/A']], [['Rated', 'amps:'], ['30', 'Amps']], [['Voltage:'], ['208V']], [['Priority:'], ['ETO']]]","[['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal'], ['normal', 'normal']]",20,0,0,0,SEMI_STRUCTURED_TABLE,,asset_details
